home,game_date,Target label,fg_pct_home,fg3_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pts_home,away,fg_pct_away,fg3_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,pts_away,season_type
Milwaukee Bucks,2018-10-24,W,0.41,0.302,9.0,42.0,24.0,7.0,10.0,11.0,123,Philadelphia 76ers,0.413,0.324,8.0,42.0,29.0,4.0,5.0,108,Regular Season
San Antonio Spurs,2018-10-24,L,0.402,0.316,15.0,31.0,16.0,3.0,3.0,13.0,96,Indiana Pacers,0.529,0.531,5.0,35.0,34.0,9.0,5.0,116,Regular Season
Houston Rockets,2018-10-24,L,0.402,0.275,10.0,25.0,16.0,12.0,5.0,17.0,89,Utah Jazz,0.436,0.345,9.0,38.0,21.0,7.0,5.0,100,Regular Season
Atlanta Hawks,2018-10-24,W,0.407,0.395,10.0,44.0,28.0,6.0,6.0,15.0,111,Dallas Mavericks,0.418,0.3,9.0,43.0,25.0,7.0,9.0,104,Regular Season
Miami Heat,2018-10-24,W,0.476,0.448,4.0,47.0,24.0,7.0,5.0,13.0,110,New York Knicks,0.363,0.364,10.0,35.0,20.0,5.0,3.0,87,Regular Season
Cleveland Cavaliers,2018-10-24,L,0.382,0.167,16.0,37.0,18.0,5.0,2.0,15.0,86,Brooklyn Nets,0.437,0.412,8.0,36.0,23.0,8.0,1.0,102,Regular Season
Golden State Warriors,2018-10-24,W,0.576,0.455,10.0,38.0,37.0,6.0,5.0,18.0,144,Washington Wizards,0.452,0.286,7.0,27.0,22.0,7.0,1.0,122,Regular Season
Los Angeles Lakers,2018-10-25,W,0.5,0.345,9.0,33.0,27.0,13.0,3.0,14.0,121,Denver Nuggets,0.5,0.261,10.0,34.0,22.0,8.0,5.0,114,Regular Season
Oklahoma City Thunder,2018-10-25,L,0.394,0.25,16.0,41.0,19.0,5.0,6.0,16.0,95,Boston Celtics,0.384,0.344,10.0,35.0,19.0,7.0,1.0,101,Regular Season
Orlando Magic,2018-10-25,L,0.5,0.4,11.0,29.0,29.0,5.0,7.0,14.0,114,Portland Trail Blazers,0.552,0.407,12.0,32.0,24.0,6.0,6.0,128,Regular Season
Detroit Pistons,2018-10-25,W,0.526,0.393,13.0,35.0,21.0,4.0,5.0,20.0,110,Cleveland Cavaliers,0.461,0.333,7.0,23.0,18.0,11.0,1.0,103,Regular Season
Minnesota Timberwolves,2018-10-26,L,0.321,0.233,17.0,32.0,19.0,10.0,6.0,8.0,95,Milwaukee Bucks,0.533,0.413,7.0,55.0,32.0,4.0,8.0,125,Regular Season
New Orleans Pelicans,2018-10-26,W,0.449,0.391,15.0,31.0,23.0,11.0,11.0,11.0,117,Brooklyn Nets,0.439,0.475,16.0,38.0,26.0,6.0,8.0,115,Regular Season
Toronto Raptors,2018-10-26,W,0.484,0.407,12.0,38.0,23.0,10.0,5.0,13.0,116,Dallas Mavericks,0.413,0.4,10.0,34.0,22.0,6.0,6.0,107,Regular Season
New York Knicks,2018-10-26,L,0.433,0.333,11.0,29.0,17.0,6.0,1.0,20.0,100,Golden State Warriors,0.586,0.485,6.0,33.0,26.0,10.0,6.0,128,Regular Season
Sacramento Kings,2018-10-26,W,0.463,0.378,14.0,39.0,25.0,8.0,4.0,19.0,116,Washington Wizards,0.465,0.333,5.0,37.0,22.0,8.0,7.0,112,Regular Season
Charlotte Hornets,2018-10-26,W,0.57,0.438,11.0,39.0,30.0,10.0,10.0,12.0,135,Chicago Bulls,0.435,0.444,8.0,26.0,21.0,5.0,7.0,106,Regular Season
Houston Rockets,2018-10-26,L,0.388,0.366,16.0,26.0,21.0,11.0,7.0,13.0,113,LA Clippers,0.544,0.522,5.0,39.0,17.0,8.0,4.0,133,Regular Season
Memphis Grizzlies,2018-10-27,W,0.557,0.346,3.0,36.0,30.0,12.0,1.0,12.0,117,Phoenix Suns,0.462,0.273,5.0,30.0,28.0,5.0,1.0,96,Regular Season
San Antonio Spurs,2018-10-27,W,0.484,0.188,12.0,37.0,20.0,7.0,5.0,13.0,110,Los Angeles Lakers,0.477,0.394,7.0,35.0,19.0,5.0,5.0,106,Regular Season
Miami Heat,2018-10-27,W,0.458,0.385,16.0,40.0,21.0,7.0,8.0,13.0,120,Portland Trail Blazers,0.42,0.364,8.0,34.0,14.0,7.0,8.0,111,Regular Season
Philadelphia 76ers,2018-10-27,W,0.385,0.357,14.0,42.0,18.0,4.0,8.0,11.0,105,Charlotte Hornets,0.389,0.257,9.0,39.0,19.0,3.0,8.0,103,Regular Season
Cleveland Cavaliers,2018-10-27,L,0.465,0.28,16.0,23.0,21.0,9.0,2.0,18.0,107,Indiana Pacers,0.649,0.385,4.0,20.0,28.0,13.0,3.0,119,Regular Season
Atlanta Hawks,2018-10-27,L,0.321,0.3,11.0,37.0,20.0,9.0,8.0,22.0,85,Chicago Bulls,0.434,0.364,8.0,44.0,25.0,14.0,6.0,97,Regular Season
Milwaukee Bucks,2018-10-27,W,0.5,0.333,6.0,51.0,24.0,6.0,7.0,21.0,113,Orlando Magic,0.327,0.233,11.0,30.0,21.0,9.0,6.0,91,Regular Season
Detroit Pistons,2018-10-27,L,0.371,0.189,6.0,41.0,16.0,4.0,3.0,11.0,89,Boston Celtics,0.453,0.412,8.0,46.0,25.0,4.0,8.0,109,Regular Season
New Orleans Pelicans,2018-10-27,L,0.421,0.265,11.0,29.0,22.0,4.0,5.0,16.0,111,Utah Jazz,0.523,0.313,6.0,37.0,32.0,7.0,7.0,132,Regular Season
Oklahoma City Thunder,2018-10-28,W,0.506,0.292,9.0,34.0,22.0,16.0,3.0,15.0,117,Phoenix Suns,0.442,0.296,10.0,34.0,21.0,10.0,3.0,110,Regular Season
LA Clippers,2018-10-28,W,0.544,0.552,14.0,43.0,35.0,7.0,9.0,15.0,136,Washington Wizards,0.392,0.185,14.0,31.0,18.0,7.0,3.0,104,Regular Season
Brooklyn Nets,2018-10-28,L,0.483,0.476,5.0,32.0,28.0,5.0,3.0,15.0,114,Golden State Warriors,0.494,0.333,12.0,35.0,28.0,11.0,7.0,120,Regular Season
Dallas Mavericks,2018-10-28,L,0.418,0.321,12.0,31.0,24.0,6.0,3.0,13.0,104,Utah Jazz,0.525,0.4,8.0,35.0,25.0,8.0,6.0,113,Regular Season
New York Knicks,2018-10-29,W,0.489,0.375,16.0,37.0,21.0,5.0,3.0,16.0,115,Brooklyn Nets,0.405,0.289,11.0,21.0,22.0,6.0,7.0,96,Regular Season
Miami Heat,2018-10-29,L,0.413,0.333,13.0,39.0,20.0,10.0,9.0,18.0,113,Sacramento Kings,0.495,0.462,9.0,37.0,28.0,8.0,8.0,123,Regular Season
Milwaukee Bucks,2018-10-29,W,0.489,0.422,8.0,49.0,28.0,5.0,4.0,17.0,124,Toronto Raptors,0.379,0.2,15.0,36.0,25.0,9.0,7.0,109,Regular Season
Chicago Bulls,2018-10-29,L,0.489,0.314,12.0,32.0,25.0,6.0,3.0,9.0,124,Golden State Warriors,0.552,0.533,8.0,41.0,34.0,9.0,7.0,149,Regular Season
Indiana Pacers,2018-10-29,L,0.411,0.316,7.0,28.0,19.0,8.0,5.0,9.0,93,Portland Trail Blazers,0.487,0.385,9.0,41.0,19.0,3.0,3.0,103,Regular Season
Minnesota Timberwolves,2018-10-29,W,0.429,0.483,20.0,31.0,26.0,11.0,12.0,15.0,124,Los Angeles Lakers,0.471,0.364,17.0,31.0,24.0,8.0,8.0,120,Regular Season
San Antonio Spurs,2018-10-29,W,0.462,0.45,5.0,36.0,27.0,17.0,2.0,17.0,113,Dallas Mavericks,0.473,0.294,8.0,41.0,15.0,9.0,3.0,108,Regular Season
Denver Nuggets,2018-10-29,W,0.452,0.314,9.0,32.0,28.0,14.0,5.0,13.0,116,New Orleans Pelicans,0.524,0.458,7.0,37.0,28.0,8.0,5.0,111,Regular Season
