Team,FG_Percent,3P_Percent,ORB,DRB,AST,STL,BLK,PF,PTS,Year
Brooklyn Nets*,0.475,0.361,10.3,34.1,25.3,7.1,5.5,20.4,112.9,2022
Denver Nuggets*,0.483,0.353,9.2,34.9,27.8,7.2,3.7,20,112.7,2022
Los Angeles Lakers,0.469,0.347,9.5,34.5,24,7.6,5.2,20.2,112.1,2022
Boston Celtics*,0.466,0.356,10.5,35.5,24.8,7.2,5.8,18.5,111.8,2022
Chicago Bulls*,0.48,0.369,8.7,33.7,23.9,7.1,4.1,18.8,111.6,2022
Indiana Pacers,0.463,0.344,11.3,32.6,25.4,7.1,5.6,20.4,111.5,2022
Golden State Warriors*,0.469,0.364,9.8,35.7,27.1,8.8,4.5,21,111,2022
Sacramento Kings,0.46,0.344,9.6,33.4,23.7,7.2,4.5,18.9,110.3,2022
Miami Heat*,0.467,0.379,9.8,33.9,25.5,7.4,3.2,20.5,110,2022
Philadelphia 76ers*,0.466,0.364,8.5,33.8,23.7,7.7,5.3,19.4,109.9,2022
Houston Rockets,0.456,0.349,9.6,32.4,23.6,7.3,4.7,20.6,109.7,2022
Toronto Raptors*,0.445,0.349,13.4,32,22.1,9,4.6,19.6,109.4,2022
New Orleans Pelicans*,0.457,0.332,12,33.2,25,8.3,4,19.7,109.3,2022
Washington Wizards,0.472,0.342,9,34.1,25,6.4,5,18.8,108.6,2022
Los Angeles Clippers,0.458,0.374,9.1,34.9,24,7.4,5,18.6,108.4,2022
Dallas Mavericks*,0.461,0.35,9.3,33.8,23.4,6.7,4,19.7,108,2022
Cleveland Cavaliers,0.469,0.355,10.2,34,25.2,7.1,4.2,17.5,107.8,2022
New York Knicks,0.437,0.357,11.5,34.6,21.9,7,4.9,20.4,106.5,2022
Portland Trail Blazers,0.442,0.346,10.4,32.5,22.9,8,4.5,21.1,106.2,2022
Detroit Pistons,0.431,0.326,11,32,23.5,7.7,4.8,21.9,104.8,2022
Orlando Magic,0.434,0.331,9.1,35.2,23.7,6.8,4.5,19.7,104.2,2022
Oklahoma City Thunder,0.43,0.323,10.4,35.2,22.2,7.6,4.6,18.3,103.7,2022
League Average,0.461,0.354,10.3,34.1,24.6,7.6,4.7,19.6,110.6,2022
Sacramento Kings*,0.494,0.369,9.5,32.9,27.3,7,3.4,19.7,120.7,2023
Golden State Warriors*,0.479,0.385,10.5,34.1,29.8,7.2,3.9,21.4,118.9,2023
Atlanta Hawks*,0.483,0.352,11.2,33.2,25,7.1,4.9,18.8,118.4,2023
Boston Celtics*,0.475,0.377,9.7,35.6,26.7,6.4,5.2,18.8,117.9,2023
Oklahoma City Thunder*,0.465,0.356,11.4,32.3,24.4,8.2,4.2,21,117.5,2023
Los Angeles Lakers*,0.482,0.346,10,35.7,25.3,6.4,4.6,17.9,117.2,2023
Utah Jazz,0.473,0.353,11.8,34.1,26,6.1,5.2,20.5,117.1,2023
Memphis Grizzlies*,0.475,0.351,12,34.6,26,8.3,5.8,20,116.9,2023
Milwaukee Bucks*,0.473,0.368,11.1,37.5,25.8,6.4,4.9,18.1,116.9,2023
Indiana Pacers,0.469,0.367,10.1,31.4,27,7.7,5.8,21.2,116.3,2023
New York Knicks*,0.47,0.354,12.6,34,22.9,6.4,4.1,20.3,116,2023
Denver Nuggets*,0.504,0.379,10.1,32.9,28.9,7.5,4.5,18.6,115.8,2023
Minnesota Timberwolves*,0.49,0.365,9.1,32.8,26.2,8,5.4,21.6,115.8,2023
Philadelphia 76ers*,0.487,0.387,8.7,32.2,25.2,7.7,4.7,20.4,115.2,2023
New Orleans Pelicans*,0.48,0.364,10.6,33.1,25.9,8.3,4.1,20.5,114.4,2023
Dallas Mavericks,0.475,0.371,7.6,31.2,22.9,6.3,3.7,20.7,114.2,2023
Phoenix Suns*,0.467,0.374,11.8,32.4,27.3,7.1,5.3,21.2,113.6,2023
Los Angeles Clippers*,0.477,0.381,9.8,33.4,23.9,7.1,4.4,19.5,113.6,2023
Portland Trail Blazers,0.474,0.365,9.4,31.1,24.2,6.7,4.6,20,113.4,2023
Brooklyn Nets*,0.487,0.378,8.2,32.3,25.5,7.1,6.2,21.1,113.4,2023
Washington Wizards,0.485,0.356,9.4,34.2,25.4,6.8,5.2,18.8,113.2,2023
Chicago Bulls*,0.49,0.361,8.5,33.9,24.5,7.9,4.5,18.9,113.1,2023
San Antonio Spurs,0.465,0.345,11.8,31.9,27.2,7,3.9,19.9,113,2023
Toronto Raptors*,0.459,0.335,12.7,30.3,23.9,9.4,5.2,20,112.9,2023
Cleveland Cavaliers*,0.488,0.367,9.7,31.4,24.9,7.1,4.7,19,112.3,2023
Orlando Magic,0.47,0.346,10.2,33.1,23.2,7.4,4.7,20.1,111.4,2023
Charlotte Hornets,0.457,0.33,11,33.5,25.1,7.7,5.2,20.3,111,2023
Houston Rockets,0.457,0.327,13.4,32.9,22.4,7.3,4.6,20.5,110.7,2023
Detroit Pistons,0.454,0.351,11.2,31.3,23,7,3.8,22.1,110.3,2023
Miami Heat*,0.46,0.344,9.7,30.9,23.8,8,3,18.5,109.5,2023
