date,home,away,team,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,win
2018-10-25,DET,CLE,CLE,103,46.1,33.3,7,23,18,11,1,0
2018-10-25,LAL,DEN,LAL,121,50.0,34.5,9,33,27,13,3,1
2018-10-25,LAL,DEN,DEN,114,50.0,26.1,10,34,22,8,5,0
2018-10-25,OKC,BOS,OKC,95,39.4,25.0,16,41,19,5,6,0
2018-10-25,OKC,BOS,BOS,101,38.4,34.4,10,35,19,7,1,1
2018-10-25,ORL,POR,ORL,114,50.0,40.0,11,29,29,5,7,0
2018-10-25,ORL,POR,POR,128,55.2,40.7,12,32,24,6,6,1
2018-10-26,CHA,CHI,CHA,135,57.0,43.8,11,39,30,10,10,1
2018-10-26,CHA,CHI,CHI,106,43.5,44.4,8,26,21,5,7,0
2018-10-26,HOU,LAC,HOU,113,38.8,36.6,16,26,21,11,7,0
2018-10-26,HOU,LAC,LAC,133,54.4,52.2,5,39,17,8,4,1
2018-10-26,MIN,MIL,MIN,95,32.1,23.3,17,32,19,10,6,0
2018-10-26,MIN,MIL,MIL,125,53.3,41.3,7,55,32,4,8,1
2018-10-26,NOP,BKN,NOP,117,44.9,39.1,15,31,23,11,11,1
2018-10-26,NOP,BKN,BKN,115,43.9,47.5,16,38,26,6,8,0
2018-10-26,NYK,GSW,NYK,100,43.3,33.3,11,29,17,6,1,0
2018-10-26,NYK,GSW,GSW,128,58.6,48.5,6,33,26,10,6,1
2018-10-26,SAC,WAS,SAC,116,46.3,37.8,14,39,25,8,4,1
2018-10-26,SAC,WAS,WAS,112,46.5,33.3,5,37,22,8,7,0
2018-10-26,TOR,DAL,TOR,116,48.4,40.7,12,38,23,10,5,1
2018-10-26,TOR,DAL,DAL,107,41.3,40.0,10,34,22,6,6,0
2018-10-27,ATL,CHI,ATL,85,32.1,30.0,11,37,20,9,8,0
2018-10-27,ATL,CHI,CHI,97,43.4,36.4,8,44,25,14,6,1
2018-10-27,CLE,IND,CLE,107,46.5,28.0,16,23,21,9,2,0
2018-10-27,CLE,IND,IND,119,64.9,38.5,4,20,28,13,3,1
2018-10-27,DET,BOS,DET,89,37.1,18.9,6,41,16,4,3,0
2018-10-27,DET,BOS,BOS,109,45.3,41.2,8,46,25,4,8,1
2018-10-27,MEM,PHX,MEM,117,55.7,34.6,3,36,30,12,1,1
2018-10-27,MEM,PHX,PHX,96,46.2,27.3,5,30,28,5,1,0
2018-10-27,MIA,POR,MIA,120,45.8,38.5,16,40,21,7,8,1
2018-10-27,MIA,POR,POR,111,42.0,36.4,8,34,14,7,8,0
2018-10-27,MIL,ORL,MIL,113,50.0,33.3,6,51,24,6,7,1
2018-10-27,MIL,ORL,ORL,91,32.7,23.3,11,30,21,9,6,0
2018-10-27,NOP,UTA,NOP,111,42.1,26.5,11,29,22,4,5,0
2018-10-27,NOP,UTA,UTA,132,52.3,31.3,6,37,32,7,7,1
2018-10-27,PHI,CHA,PHI,105,38.5,35.7,14,42,18,4,8,1
2018-10-27,PHI,CHA,CHA,103,38.9,25.7,9,39,19,3,8,0
2018-10-27,SAS,LAL,SAS,110,48.4,18.8,12,37,20,7,5,1
2018-10-27,SAS,LAL,LAL,106,47.7,39.4,7,35,19,5,5,0
2018-10-28,BKN,GSW,BKN,114,48.3,47.6,5,32,28,5,3,0
2018-10-28,BKN,GSW,GSW,120,49.4,33.3,12,35,28,11,7,1
2018-10-28,DAL,UTA,DAL,104,41.8,32.1,12,31,24,6,3,0
2018-10-28,DAL,UTA,UTA,113,52.5,40.0,8,35,25,8,6,1
2018-10-28,LAC,WAS,LAC,136,54.4,55.2,14,43,35,7,9,1
2018-10-28,LAC,WAS,WAS,104,39.2,18.5,14,31,18,7,3,0
2018-10-28,OKC,PHX,OKC,117,50.6,29.2,9,34,22,16,3,1
2018-10-28,OKC,PHX,PHX,110,44.2,29.6,10,34,21,10,3,0
2018-10-29,CHI,GSW,CHI,124,48.9,31.4,12,32,25,6,3,0
2018-10-29,CHI,GSW,GSW,149,55.2,53.3,8,41,34,9,7,1
2018-10-29,DEN,NOP,DEN,116,45.2,31.4,9,32,28,14,5,1
2018-10-29,DEN,NOP,NOP,111,52.4,45.8,7,37,28,8,5,0
2018-10-29,IND,POR,IND,93,41.1,31.6,7,28,19,8,5,0
2018-10-29,IND,POR,POR,103,48.7,38.5,9,41,19,3,3,1
2018-10-29,MIA,SAC,MIA,113,41.3,33.3,13,39,20,10,9,0
2018-10-29,MIA,SAC,SAC,123,49.5,46.2,9,37,28,8,8,1
2018-10-29,MIL,TOR,MIL,124,48.9,42.2,8,49,28,5,4,1
2018-10-29,MIL,TOR,TOR,109,37.9,20.0,15,36,25,9,7,0
2018-10-29,MIN,LAL,MIN,124,42.9,48.3,20,31,26,11,12,1
2018-10-29,MIN,LAL,LAL,120,47.1,36.4,17,31,24,8,8,0
2018-10-29,NYK,BKN,NYK,115,48.9,37.5,16,37,21,5,3,1
2018-10-29,NYK,BKN,BKN,96,40.5,28.9,11,21,22,6,7,0
2018-10-29,PHI,ATL,PHI,113,41.4,29.8,16,48,33,7,9,1
2018-10-29,PHI,ATL,ATL,92,37.2,21.6,10,37,20,10,3,0
2018-10-29,SAS,DAL,SAS,113,46.2,45.0,5,36,27,17,2,1
2018-10-29,SAS,DAL,DAL,108,47.3,29.4,8,41,15,9,3,0
2018-10-30,BOS,DET,BOS,108,44.0,29.0,8,38,25,8,4,1
2018-10-30,BOS,DET,DET,105,42.0,26.7,11,39,17,6,3,0
2018-10-30,CHA,MIA,CHA,125,54.3,46.4,8,31,27,7,5,1
2018-10-30,CHA,MIA,MIA,113,47.1,39.3,10,24,25,9,5,0
2018-10-30,CLE,ATL,CLE,136,50.0,52.0,13,35,23,13,1,1
2018-10-30,CLE,ATL,ATL,114,53.7,42.9,6,33,25,6,8,0
2018-10-30,HOU,POR,HOU,85,32.3,23.3,20,29,18,7,9,0
2018-10-30,HOU,POR,POR,104,47.5,40.0,7,44,17,4,4,1
2018-10-30,MEM,WAS,MEM,107,48.6,46.4,6,32,28,16,3,1
2018-10-30,MEM,WAS,WAS,95,43.2,40.0,5,32,24,9,7,0
2018-10-30,OKC,LAC,OKC,128,51.1,52.9,9,32,19,16,6,1
2018-10-30,OKC,LAC,LAC,110,47.3,35.0,6,32,18,6,7,0
2018-10-30,ORL,SAC,ORL,99,39.6,25.6,11,37,28,10,8,0
2018-10-30,ORL,SAC,SAC,107,48.8,36.4,8,43,22,8,6,1
2018-10-30,TOR,PHI,TOR,129,51.1,40.7,9,34,29,13,6,1
2018-10-30,TOR,PHI,PHI,112,41.8,35.0,17,30,25,7,5,0
2018-10-31,BKN,DET,BKN,120,42.6,31.6,18,37,26,5,3,1
2018-10-31,BKN,DET,DET,119,41.9,32.4,14,41,16,8,6,0
2018-10-31,CHI,DEN,CHI,107,42.4,47.1,10,33,27,7,6,0
2018-10-31,CHI,DEN,DEN,108,45.5,26.9,17,39,24,7,9,1
2018-10-31,GSW,NOP,GSW,131,52.8,50.0,12,34,39,10,4,1
2018-10-31,GSW,NOP,NOP,121,47.8,34.3,12,30,24,8,2,0
2018-10-31,LAL,DAL,LAL,114,51.2,58.8,8,31,23,12,6,1
2018-10-31,LAL,DAL,DAL,113,50.0,44.8,10,30,24,5,5,0
2018-10-31,MIN,UTA,MIN,128,58.1,48.0,7,34,19,10,8,1
2018-10-31,MIN,UTA,UTA,125,48.5,43.3,20,28,25,9,5,0
2018-10-31,NYK,IND,NYK,101,43.0,48.0,9,26,18,6,6,0
2018-10-31,NYK,IND,IND,107,54.2,30.0,10,31,24,10,10,1
2018-10-31,PHX,SAS,PHX,90,38.9,25.0,7,28,21,10,3,0
2018-10-31,PHX,SAS,SAS,120,55.4,22.2,6,41,24,7,6,1
2018-11-01,ATL,SAC,ATL,115,48.3,25.8,10,33,26,6,6,0
2018-11-01,ATL,SAC,SAC,146,54.1,40.0,10,36,38,14,3,1
2018-11-01,BOS,MIL,BOS,117,44.6,43.6,8,34,30,5,8,1
2018-11-01,BOS,MIL,MIL,113,48.2,31.0,8,37,20,8,3,0
2018-11-01,CHA,OKC,CHA,107,40.9,26.8,11,40,26,7,3,0
2018-11-01,CHA,OKC,OKC,111,42.7,21.6,14,35,20,12,9,1
2018-11-01,CLE,DEN,CLE,91,41.0,27.8,13,22,18,11,4,0
2018-11-01,CLE,DEN,DEN,110,48.2,38.5,14,30,22,8,7,1
2018-11-01,PHI,LAC,PHI,122,47.3,48.1,10,33,29,7,7,1
2018-11-01,PHI,LAC,LAC,113,44.2,39.1,8,34,19,6,7,0
2018-11-01,POR,NOP,POR,132,50.6,51.4,8,38,26,4,4,1
2018-11-01,POR,NOP,NOP,119,42.6,27.6,14,30,23,7,3,0
2018-11-02,BKN,HOU,BKN,111,49.4,44.1,9,29,22,5,4,0
2018-11-02,BKN,HOU,HOU,119,49.4,38.5,11,30,22,4,10,1
2018-11-02,CHI,IND,CHI,105,47.2,41.9,11,32,33,2,7,0
2018-11-02,CHI,IND,IND,107,47.1,26.9,9,33,21,8,9,1
2018-11-02,DAL,NYK,DAL,106,49.4,37.9,11,29,22,6,1,0
2018-11-02,DAL,NYK,NYK,118,54.8,24.1,10,30,26,13,4,1
2018-11-02,GSW,MIN,GSW,116,48.9,38.2,12,49,31,3,9,1
2018-11-02,GSW,MIN,MIN,99,37.6,28.9,8,31,25,8,4,0
2018-11-02,ORL,LAC,ORL,95,44.4,23.5,8,32,20,7,4,0
2018-11-02,ORL,LAC,LAC,120,47.7,50.0,10,40,22,5,3,1
