gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,game_id
21900457,2019-12-25,regular,1610612745,HOU,GSW,HOU,48,0.33333333333333337,37,100,0.2416267942583732,16,51,0.30980392156862746,14,16,87.5,0.48275862068965514,0.4318181818181819,49,0.26190476190476186,12.0,0.36363636363636365,0.15000000000000002,25,-12.0,0,2020,2019-12-25_GSW_HOU
21900458,2019-12-25,regular,1610612747,LAL,LAL,LAC,48,0.35185185185185186,39,96,0.3277511961722488,12,45,0.2483660130718954,16,21,76.2,0.41379310344827586,0.31818181818181823,42,0.38095238095238093,13.0,0.5,0.5,23,-5.0,0,2020,2019-12-25_LAL_LAC
21900458,2019-12-25,regular,1610612746,LAC,LAL,LAC,48,0.39814814814814814,39,85,0.4545454545454546,9,25,0.36993464052287583,24,32,75.0,0.4482758620689655,0.4772727272727273,50,0.38095238095238093,16.0,0.2727272727272727,0.30000000000000004,17,5.0,1,2020,2019-12-25_LAL_LAC
21900456,2019-12-25,regular,1610612755,PHI,PHI,MIL,48,0.4907407407407407,44,101,0.3995215311004785,21,44,0.5228758169934641,12,15,80.0,0.48275862068965514,0.4318181818181819,49,0.5,8.0,0.4090909090909091,0.35000000000000003,12,12.0,1,2020,2019-12-25_PHI_MIL
21900456,2019-12-25,regular,1610612749,MIL,PHI,MIL,48,0.37962962962962976,45,95,0.49043062200956933,13,33,0.41437908496732023,6,8,75.0,0.27586206896551724,0.5227272727272727,47,0.3571428571428571,10.0,0.2727272727272727,0.30000000000000004,15,-12.0,0,2020,2019-12-25_PHI_MIL
21900455,2019-12-25,regular,1610612761,TOR,TOR,BOS,48,0.3148148148148149,38,80,0.49282296650717705,8,23,0.35424836601307186,18,22,81.8,0.24137931034482757,0.25,34,0.2142857142857143,17.0,0.5909090909090909,0.35000000000000003,13,-16.0,0,2020,2019-12-25_TOR_BOS
21900455,2019-12-25,regular,1610612738,BOS,TOR,BOS,48,0.462962962962963,46,92,0.5526315789473684,14,33,0.4535947712418301,12,14,85.7,0.4482758620689655,0.36363636363636365,45,0.4285714285714286,19.0,0.3181818181818182,0.15000000000000002,22,16.0,1,2020,2019-12-25_TOR_BOS
21900461,2019-12-26,regular,1610612751,BKN,BKN,NYK,48,0.12962962962962965,21,78,0.0,13,50,0.23921568627450981,27,36,75.0,0.3103448275862069,0.5681818181818182,50,0.2142857142857143,13.0,0.13636363636363635,0.15000000000000002,19,-12.0,0,2020,2019-12-26_BKN_NYK
21900461,2019-12-26,regular,1610612752,NYK,BKN,NYK,48,0.2407407407407408,37,92,0.31818181818181823,9,29,0.30457516339869284,11,15,73.3,0.4482758620689655,0.7045454545454545,60,0.19047619047619047,14.0,0.2727272727272727,0.1,27,12.0,1,2020,2019-12-26_BKN_NYK
21900463,2019-12-26,regular,1610612742,DAL,DAL,SAS,48,0.3148148148148149,38,90,0.36602870813397126,16,40,0.4222222222222223,10,15,66.7,0.4482758620689655,0.5227272727272727,52,0.33333333333333326,14.0,0.3181818181818182,0.15000000000000002,11,4.0,1,2020,2019-12-26_DAL_SAS
21900463,2019-12-26,regular,1610612759,SAS,DAL,SAS,48,0.2777777777777778,40,83,0.5095693779904307,8,29,0.26013071895424844,10,15,66.7,0.1724137931034483,0.5454545454545455,45,0.23809523809523808,13.0,0.4090909090909091,0.35000000000000003,16,-4.0,0,2020,2019-12-26_DAL_SAS
21900460,2019-12-26,regular,1610612765,DET,DET,WAS,48,0.5925925925925926,46,86,0.6363636363636362,19,48,0.41699346405228765,21,26,80.8,0.3793103448275862,0.4772727272727273,48,0.5714285714285714,15.0,0.2272727272727273,0.25,23,30.0,1,2020,2019-12-26_DET_WAS
21900460,2019-12-26,regular,1610612764,WAS,DET,WAS,48,0.3148148148148149,38,92,0.3444976076555023,7,24,0.28104575163398693,19,27,70.4,0.6206896551724138,0.2272727272727273,44,0.23809523809523808,12.0,0.3181818181818182,0.25,25,-30.0,0,2020,2019-12-26_DET_WAS
