home_team,away_team,PTS_home,FG%_home,3P%_home,FT%_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,PTS_away,FG%_away,3P%_away,FT%_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,winner
CLE,DEN,91,41.0,27.8,94.7,13,22,18,11,4,110,48.2,38.5,85.7,14,30,22,8,7,DEN
LAC,PHI,113,44.2,39.1,84.8,8,34,19,6,7,122,47.3,48.1,75.0,10,33,29,7,7,PHI
ATL,SAC,115,48.3,25.8,67.6,10,33,26,6,6,146,54.1,40.0,81.3,10,36,38,14,3,SAC
BOS,MIL,117,44.6,43.6,84.6,8,34,30,5,8,113,48.2,31.0,73.3,8,37,20,8,3,BOS
NOP,POR,119,42.6,27.6,83.8,14,30,23,7,3,132,50.6,51.4,83.9,8,38,26,4,4,POR
LAC,ORL,120,47.7,50.0,75.8,10,40,22,5,3,95,44.4,23.5,57.9,8,32,20,7,4,LAC
BKN,HOU,111,49.4,44.1,60.0,9,29,22,5,4,119,49.4,38.5,68.8,11,30,22,4,10,HOU
OKC,WAS,134,57.0,46.9,80.8,7,31,34,13,5,111,51.2,30.0,77.8,6,24,27,6,4,OKC
CHI,IND,105,47.2,41.9,88.9,11,32,33,2,7,107,47.1,26.9,90.9,9,33,21,8,9,IND
DAL,NYK,106,49.4,37.9,62.5,11,29,22,6,1,118,54.8,24.1,73.1,10,30,26,13,4,NYK
MEM,UTA,110,50.7,50.0,61.8,9,30,23,9,3,100,46.8,38.9,56.0,10,29,21,3,5,MEM
PHX,TOR,98,44.0,30.8,55.6,12,37,20,3,4,107,50.6,36.4,61.9,6,33,29,11,10,TOR
GSW,MIN,116,48.9,38.2,77.3,12,49,31,3,9,99,37.6,28.9,71.4,8,31,25,8,4,GSW
DET,PHI,99,39.8,16.7,68.3,7,37,16,8,3,109,40.6,31.0,86.3,3,42,21,11,3,PHI
CHA,CLE,126,57.1,33.3,92.3,12,38,29,3,7,94,43.2,38.5,93.3,3,23,22,10,2,CHA
BOS,IND,101,43.2,41.3,66.7,10,35,23,6,8,102,41.9,34.4,76.0,8,37,23,10,2,IND
ATL,MIA,123,52.3,40.6,78.3,8,29,33,11,7,118,48.2,40.0,76.9,13,28,27,6,6,ATL
CHI,HOU,88,39.4,26.1,96.3,4,33,15,13,4,96,42.2,31.0,65.0,10,35,21,13,5,HOU
NOP,SAS,95,46.8,28.6,56.7,6,42,22,3,8,109,46.9,34.8,78.6,8,35,29,8,4,SAS
DEN,UTA,103,49.4,32.1,63.2,8,40,32,8,0,88,40.7,19.4,66.7,10,30,22,12,7,DEN
LAL,POR,114,52.3,38.1,64.0,9,41,20,9,11,110,42.3,17.1,72.7,16,34,20,10,5,LAL
MIL,SAC,144,48.4,39.3,90.9,10,46,30,6,7,109,44.2,38.9,50.0,8,36,24,6,4,MIL
BKN,PHI,122,47.6,32.1,72.2,15,23,27,11,3,97,47.7,20.0,75.6,9,37,16,6,1,BKN
NYK,WAS,95,41.9,18.5,75.0,15,36,19,5,5,108,43.4,23.1,76.9,15,32,21,12,11,WAS
MEM,PHX,100,47.4,30.4,72.4,9,21,19,13,3,102,51.6,43.8,84.6,5,32,25,7,3,PHX
ORL,SAS,117,50.5,37.5,72.2,11,32,29,7,4,110,43.2,34.3,88.0,10,33,25,3,5,ORL
MIN,POR,81,31.2,23.3,76.2,13,25,18,9,4,111,44.2,25.0,87.5,17,49,15,7,1,POR
LAL,TOR,107,45.9,25.0,79.3,6,32,25,6,4,121,50.0,28.6,92.9,13,36,32,9,4,TOR
DET,MIA,115,41.0,31.4,64.3,21,39,27,8,3,120,44.9,38.7,64.5,9,41,24,10,8,MIA
HOU,IND,98,44.7,31.9,93.8,5,34,23,9,6,94,44.0,28.6,66.7,7,32,17,8,3,HOU
CLE,ORL,100,51.3,43.5,66.7,8,34,20,8,2,102,44.8,32.4,86.7,10,30,22,11,5,ORL
CHI,NYK,116,45.3,26.7,73.3,11,37,15,9,9,115,38.7,26.9,89.7,21,41,20,7,6,CHI
NOP,OKC,116,48.8,31.0,83.3,11,34,27,8,5,122,48.4,37.0,71.0,9,32,26,15,3,OKC
BOS,DEN,107,50.6,29.0,83.3,7,33,22,9,9,115,45.6,38.2,71.4,15,32,25,5,4,DEN
TOR,UTA,124,57.0,39.4,92.9,7,36,21,9,3,111,44.2,25.8,65.9,12,28,29,10,4,TOR
GSW,MEM,117,50.6,54.2,95.7,8,38,29,4,4,101,45.8,33.3,76.2,4,26,31,8,8,GSW
LAC,MIN,120,48.9,45.2,90.9,13,30,30,5,4,109,47.1,23.8,80.0,8,30,20,9,8,LAC
ATL,CHA,102,48.2,20.0,77.8,7,30,22,13,9,113,48.9,41.9,55.6,8,35,27,9,4,CHA
DAL,WAS,119,47.6,44.1,96.3,10,40,25,4,6,100,42.5,31.4,75.0,5,27,27,8,6,DAL
BKN,PHX,104,44.6,25.0,68.4,13,39,22,9,5,82,34.6,36.0,85.0,9,40,16,4,3,BKN
MIL,POR,103,43.5,38.1,87.5,12,30,26,2,1,118,52.7,39.5,62.5,11,40,23,7,3,POR
CLE,OKC,86,37.1,29.0,84.6,12,39,17,3,4,95,41.7,25.9,69.2,7,37,10,13,9,OKC
DET,ORL,103,41.1,29.7,90.0,13,37,21,13,1,96,46.0,33.3,77.8,6,34,28,10,8,DET
ATL,NYK,107,40.2,28.9,75.9,15,30,26,5,9,112,44.2,36.7,70.2,11,37,15,8,7,NYK
MIA,SAS,95,38.7,31.3,72.2,14,46,21,8,11,88,33.0,40.6,92.9,12,37,19,8,5,MIA
IND,PHI,94,39.4,25.8,70.6,8,33,19,9,6,100,45.6,31.3,81.8,5,38,24,7,8,PHI
DEN,MEM,87,39.0,25.0,78.9,13,28,19,9,3,89,42.9,38.1,84.0,8,28,19,7,7,MEM
CHI,NOP,98,39.6,29.0,76.5,7,39,18,9,7,107,44.7,36.7,70.6,11,44,32,5,10,NOP
DAL,UTA,102,39.7,33.3,90.0,12,37,14,3,4,117,48.3,35.1,69.2,8,27,31,12,10,UTA
SAC,TOR,105,47.7,34.8,72.2,6,25,27,10,5,114,46.1,30.6,91.3,13,40,17,10,4,TOR
LAL,MIN,114,48.4,44.1,78.6,12,35,32,6,4,110,45.1,50.0,88.9,11,29,22,10,5,LAL
HOU,OKC,80,37.8,26.2,70.0,12,27,16,9,3,98,44.4,24.3,70.8,13,39,18,10,4,OKC
BOS,PHX,116,40.2,37.8,77.4,17,39,21,6,6,109,44.1,31.4,84.2,4,38,25,10,6,BOS
LAC,POR,105,46.1,34.8,75.0,7,34,19,2,10,116,41.2,38.5,92.9,14,39,18,4,8,POR
GSW,MIL,111,48.3,35.7,77.3,8,30,31,5,6,134,51.5,25.7,77.8,13,33,33,11,7,MIL
ORL,WAS,117,51.2,41.9,84.2,10,31,26,8,6,108,51.2,40.7,68.4,6,29,24,8,3,ORL
CHA,PHI,132,39.1,40.0,75.0,14,35,25,10,5,133,47.9,32.4,75.6,13,46,33,3,15,PHI
ATL,DET,109,45.6,25.0,75.0,9,44,17,6,2,124,47.4,42.6,63.2,10,34,30,10,6,DET
IND,MIA,110,54.4,35.0,58.6,6,33,20,10,5,102,45.0,51.9,59.3,9,29,27,6,6,IND
BKN,DEN,112,40.9,36.4,66.7,12,30,21,7,9,110,46.0,27.8,73.5,15,39,20,3,5,BKN
BOS,UTA,115,44.3,39.5,90.9,5,23,31,11,3,123,55.8,38.2,80.0,8,37,29,4,4,UTA
MIN,SAC,110,41.5,28.0,80.6,15,37,20,6,1,121,45.3,37.5,79.3,12,37,25,7,6,SAC
NYK,TOR,112,45.8,27.3,81.8,16,31,18,12,6,128,53.2,40.0,75.0,12,34,24,8,4,TOR
LAC,MIL,128,46.5,41.2,81.5,10,44,26,6,6,126,44.8,34.8,69.6,15,37,31,11,8,LAC
NOP,PHX,119,48.8,44.0,82.8,16,38,28,7,7,99,40.7,27.8,95.0,10,27,16,10,7,NOP
MIA,WAS,110,44.3,36.4,76.9,14,24,25,5,5,116,48.2,36.4,73.7,16,32,14,8,5,WAS
CHI,CLE,99,47.6,38.9,66.7,5,33,20,7,5,98,42.9,38.1,66.7,15,38,15,5,6,CHI
MEM,PHI,112,43.7,36.7,73.3,15,30,16,9,3,106,51.8,25.8,62.5,8,40,27,10,6,MEM
HOU,SAS,89,33.3,22.0,69.0,15,34,11,10,5,96,44.6,50.0,74.1,8,38,17,3,5,SAS
DAL,OKC,111,55.8,48.3,64.7,4,34,31,9,5,96,39.2,26.5,61.1,26,27,17,9,2,DAL
BKN,GSW,100,46.8,29.2,72.4,12,29,20,7,2,116,55.4,43.8,81.0,6,30,27,9,7,GSW
LAL,SAC,101,41.4,31.6,41.2,17,42,23,11,3,86,34.8,24.0,80.0,13,37,11,7,5,LAL
CHA,DET,113,50.6,39.3,88.9,6,40,24,6,8,103,36.5,27.3,78.9,22,29,21,5,4,CHA
HOU,IND,115,48.6,42.6,71.9,8,30,18,6,5,103,46.2,37.9,76.9,5,30,24,10,6,HOU
NYK,ORL,89,35.2,17.9,73.3,13,41,13,4,15,115,44.9,40.5,90.9,10,42,31,10,9,ORL
DEN,MIL,114,46.1,47.4,70.0,10,29,27,8,5,121,57.1,50.0,61.5,5,36,27,10,7,MIL
BOS,POR,94,38.7,33.3,80.0,11,31,19,11,5,100,45.3,38.9,80.0,15,40,22,4,2,POR
ATL,LAL,106,43.2,35.1,84.6,10,34,25,11,4,107,42.4,36.8,62.5,17,31,28,12,9,LAL
ORL,WAS,109,48.3,50.0,72.7,8,26,28,5,6,117,50.6,39.4,72.7,7,34,24,8,7,WAS
MIA,PHI,114,48.1,41.9,81.8,8,32,19,5,6,124,47.0,41.7,79.5,10,32,24,5,0,PHI
NOP,TOR,126,54.5,37.0,61.5,14,40,30,2,4,110,40.2,28.9,86.4,13,30,22,9,5,NOP
CHI,DAL,98,39.3,24.2,90.9,8,37,16,11,3,103,46.8,30.3,65.5,7,42,18,11,7,DAL
MEM,UTA,88,41.8,16.7,78.3,8,34,19,7,9,96,39.0,28.1,76.7,13,36,19,7,6,UTA
BKN,MIN,113,39.6,36.0,68.2,19,23,28,10,2,120,52.5,43.5,83.9,9,43,26,8,6,MIN
OKC,PHX,118,46.7,48.1,95.0,12,30,23,12,6,101,48.1,26.9,84.2,10,27,25,5,5,OKC
SAC,SAS,104,50.0,45.8,58.3,7,38,27,12,3,99,43.7,32.3,81.3,9,34,25,5,4,SAC
GSW,LAC,116,46.8,38.7,69.6,11,35,27,7,8,121,47.3,25.0,88.2,6,43,23,11,5,LAC
CHA,CLE,89,34.7,19.5,78.9,12,25,22,12,4,113,52.9,54.2,83.3,14,46,23,5,3,CLE
DEN,HOU,99,50.0,44.0,75.0,7,24,27,11,2,109,54.9,35.1,69.2,6,26,23,7,6,HOU
ATL,GSW,103,44.9,37.5,73.3,10,32,25,9,2,110,42.9,44.4,95.2,13,35,28,8,6,GSW
ORL,PHI,111,50.0,42.9,86.4,5,32,23,7,4,106,47.7,48.3,66.7,10,31,32,2,3,ORL
CLE,WAS,95,45.5,19.0,67.7,9,33,22,12,6,119,47.8,32.5,69.2,12,32,30,17,3,WAS
BOS,CHI,111,46.7,44.1,85.7,8,43,27,12,5,82,39.3,30.4,100.0,7,40,16,8,3,BOS
BKN,MIA,107,40.6,28.6,70.8,16,30,17,10,2,120,54.1,27.6,71.4,6,41,23,6,6,MIA
DET,TOR,106,48.4,30.3,61.5,7,32,24,8,5,104,48.9,20.0,58.8,12,37,23,9,3,DET
MEM,MIL,116,50.6,38.9,75.0,4,30,24,8,4,113,50.6,25.7,81.5,9,35,22,5,8,MEM
MIN,NOP,107,41.1,43.8,79.2,11,36,29,14,6,100,42.6,32.1,61.1,10,36,25,7,6,MIN
NYK,OKC,103,44.3,26.9,78.3,9,27,18,8,8,128,53.7,48.5,83.3,13,34,32,11,7,OKC
DAL,UTA,118,58.4,42.9,66.7,7,44,24,12,6,68,30.9,17.1,63.2,8,25,16,11,3,DAL
PHX,SAS,116,56.0,48.4,87.5,5,33,27,9,4,96,42.2,30.4,79.2,13,30,16,7,4,PHX
LAL,POR,126,47.3,46.9,88.5,11,37,25,11,6,117,44.1,42.4,91.3,11,36,24,8,10,LAL
GSW,HOU,86,42.1,22.2,81.8,12,32,18,2,5,107,40.2,34.0,80.8,14,27,20,8,4,HOU
ATL,DEN,93,34.8,21.4,74.1,15,28,20,7,5,138,56.4,41.9,76.0,11,45,34,12,6,DEN
LAC,SAS,116,47.1,34.8,80.0,9,41,23,2,3,111,40.2,31.0,80.0,15,30,19,7,6,LAC
BOS,TOR,123,52.8,34.6,83.3,9,37,25,9,6,116,43.3,27.6,82.8,11,32,20,12,4,BOS
IND,MIA,99,44.4,51.9,86.7,4,43,22,10,6,91,37.6,38.9,70.0,13,38,21,10,5,IND
PHI,UTA,113,50.6,47.8,62.5,10,31,25,7,5,107,46.6,18.2,56.8,10,29,15,10,4,PHI
BKN,WAS,115,42.2,27.3,78.9,13,34,19,8,3,104,42.5,16.7,79.4,12,35,18,5,4,BKN
MEM,SAC,112,50.6,44.0,62.5,9,31,24,11,5,104,46.3,36.4,75.0,9,33,23,9,2,MEM
MIN,POR,112,50.0,42.9,72.7,9,34,28,11,4,96,42.0,27.6,70.0,11,37,16,6,1,MIN
NOP,NYK,129,48.5,29.4,71.9,11,43,27,5,5,124,49.0,32.4,70.8,12,32,15,10,6,NOP
CHI,MIL,104,43.6,39.4,69.2,4,32,22,8,3,123,50.5,41.9,64.7,11,44,28,8,8,MIL
BKN,LAC,119,45.5,46.4,76.5,15,32,25,4,5,127,50.5,47.8,83.3,9,29,23,4,1,LAC
CHA,PHI,119,42.4,32.3,92.6,9,40,23,10,3,122,41.9,31.4,86.8,9,44,23,9,6,PHI
ATL,IND,89,35.6,27.6,70.4,5,36,20,15,6,97,40.2,40.0,71.4,10,43,25,11,6,IND
LAL,ORL,117,47.8,33.3,84.0,8,33,22,5,6,130,53.8,34.4,82.6,11,30,28,5,8,ORL
DEN,NOP,115,48.4,38.5,61.5,10,33,30,5,6,125,48.3,40.0,91.2,10,36,29,6,8,NOP
